Date,Open,High,Low,Close,Adj Close,Volume
01-06-1972,0,0.815346,0.802993,0.815346,0.183906,2458771
02-06-1972,0.815346,0.817817,0.802993,0.805463,0.181677,1613885
05-06-1972,0.805463,0.807934,0.798051,0.802993,0.18112,2585251
06-06-1972,0.802993,0.825229,0.800522,0.820288,0.185021,2347469
07-06-1972,0.820288,0.820288,0.807934,0.820288,0.185021,1032077
08-06-1972,0.820288,0.822759,0.815346,0.815346,0.183906,1067491
09-06-1972,0.815346,0.822759,0.815346,0.820288,0.185021,1563293
12-06-1972,0.820288,0.835112,0.820288,0.822759,0.185578,1942733
13-06-1972,0.822759,0.835112,0.817817,0.830171,0.18725,2175456
14-06-1972,0.830171,0.835112,0.825229,0.830171,0.18725,2069213
15-06-1972,0.830171,0.837583,0.820288,0.820288,0.185021,2726909
16-06-1972,0.820288,0.835112,0.810405,0.835112,0.188364,2398061
19-06-1972,0.835112,0.844995,0.832642,0.844995,0.190594,1694832
20-06-1972,0.844995,0.849937,0.840054,0.849937,0.191708,2332291
21-06-1972,0.849937,0.854878,0.840054,0.840054,0.189479,2038858
22-06-1972,0.840054,0.847466,0.832642,0.842525,0.190036,2438534
23-06-1972,0.842525,0.844995,0.820288,0.840054,0.189479,1482346
26-06-1972,0.840054,0.840054,0.820288,0.830171,0.18725,1618944
27-06-1972,0.830171,0.837583,0.820288,0.830171,0.18725,2048976
28-06-1972,0.8277,0.8277,0.817817,0.822759,0.185578,1315392
29-06-1972,0.822759,0.835112,0.817817,0.835112,0.188364,1118083
30-06-1972,0.835112,0.849937,0.832642,0.837583,0.188922,2924218
03-07-1972,0.837583,0.844995,0.830171,0.840054,0.189479,824650
05-07-1972,0.844995,0.864761,0.844995,0.854878,0.192823,2903981
06-07-1972,0.86229,0.874644,0.86229,0.872173,0.196724,3895584
07-07-1972,0.872173,0.884527,0.867232,0.884527,0.19951,2119805
10-07-1972,0.884527,0.896881,0.882056,0.886998,0.200068,3091171
11-07-1972,0.886998,0.896881,0.886998,0.886998,0.200068,2185574
12-07-1972,0.886998,0.896881,0.884527,0.889469,0.200625,2696554
13-07-1972,0.884527,0.884527,0.85982,0.864761,0.195052,1113024
14-07-1972,0.864761,0.889469,0.86229,0.884527,0.19951,1583530
17-07-1972,0.884527,0.889469,0.86229,0.877115,0.197838,819590
18-07-1972,0.874644,0.874644,0.842525,0.867232,0.195609,1527878
19-07-1972,0.867232,0.879586,0.85982,0.872173,0.196724,2145101
20-07-1972,0.872173,0.877115,0.857349,0.85982,0.193938,1492464
21-07-1972,0.85982,0.864761,0.849937,0.864761,0.195052,956189
24-07-1972,0.864761,0.864761,0.835112,0.844995,0.190594,9733901
25-07-1972,0.847466,0.867232,0.847466,0.85982,0.193938,2696554
26-07-1972,0.85982,0.864761,0.854878,0.854878,0.192823,1355866
27-07-1972,0.854878,0.857349,0.849937,0.849937,0.191708,1133261
28-07-1972,0.852407,0.857349,0.852407,0.857349,0.19338,1128202
31-07-1972,0.857349,0.857349,0.849937,0.849937,0.191708,2043917
01-08-1972,0.849937,0.869703,0.849937,0.867232,0.195609,1806134
02-08-1972,0.869703,0.882056,0.869703,0.879586,0.198396,3020342
03-08-1972,0.879586,0.882056,0.86229,0.867232,0.195609,1305274
04-08-1972,0.867232,0.877115,0.85982,0.872173,0.196724,2145101
07-08-1972,0.872173,0.874644,0.86229,0.874644,0.197281,1962970
08-08-1972,0.874644,0.879586,0.869703,0.874644,0.197281,2403120
09-08-1972,0.874644,0.877115,0.869703,0.877115,0.197838,2479008
10-08-1972,0.877115,0.886998,0.872173,0.886998,0.200068,1163616
11-08-1972,0.886998,0.904293,0.882056,0.904293,0.203968,3162000
14-08-1972,0.904293,0.909235,0.896881,0.904293,0.203968,3313776
15-08-1972,0.904293,0.904293,0.89441,0.899352,0.202854,1254682
16-08-1972,0.899352,0.904293,0.886998,0.89441,0.201739,1532938
17-08-1972,0.89441,0.906764,0.891939,0.896881,0.202297,2726909
18-08-1972,0.89441,0.89441,0.879586,0.879586,0.198396,3050698
21-08-1972,0.879586,0.884527,0.867232,0.879586,0.198396,1295155
22-08-1972,0.879586,0.889469,0.869703,0.874644,0.197281,1431754
23-08-1972,0.874644,0.884527,0.86229,0.869703,0.196167,1654358
24-08-1972,0.869703,0.872173,0.849937,0.864761,0.195052,2155219
25-08-1972,0.864761,0.869703,0.849937,0.854878,0.192823,2823034
28-08-1972,0.854878,0.86229,0.847466,0.852407,0.192265,1436813
29-08-1972,0.852407,0.86229,0.847466,0.857349,0.1941,2140042
30-08-1972,0.857349,0.857349,0.847466,0.852407,0.192981,2231107
31-08-1972,0.852407,0.854878,0.840054,0.844995,0.191303,2190634
01-09-1972,0.844995,0.847466,0.835112,0.847466,0.191863,4877069
05-09-1972,0.847466,0.849937,0.842525,0.849937,0.192422,991603
06-09-1972,0.847466,0.847466,0.822759,0.8277,0.187388,1917437
07-09-1972,0.8277,0.830171,0.800522,0.802993,0.181794,3075994
08-09-1972,0.802993,0.822759,0.802993,0.815346,0.184591,1780838
11-09-1972,0.815346,0.817817,0.805463,0.810405,0.183472,1391280
12-09-1972,0.810405,0.817817,0.798051,0.798051,0.180676,1492464
13-09-1972,0.798051,0.810405,0.79311,0.807934,0.182913,4275024
14-09-1972,0.807934,0.817817,0.79558,0.800522,0.181235,2069213
15-09-1972,0.802993,0.815346,0.802993,0.812876,0.184032,1158557
18-09-1972,0.812876,0.825229,0.805463,0.815346,0.184591,728525
19-09-1972,0.815346,0.832642,0.810405,0.825229,0.186829,849946
20-09-1972,0.825229,0.835112,0.815346,0.822759,0.186269,1158557
21-09-1972,0.822759,0.832642,0.820288,0.825229,0.186829,1340688
22-09-1972,0.825229,0.830171,0.815346,0.817817,0.18515,1290096
25-09-1972,0.817817,0.817817,0.800522,0.810405,0.183472,6799565
26-09-1972,0.810405,0.825229,0.805463,0.825229,0.186829,2018621
27-09-1972,0.830171,0.844995,0.830171,0.844995,0.191303,2038858
28-09-1972,0.844995,0.849937,0.832642,0.849937,0.192422,5752310
29-09-1972,0.849937,0.849937,0.840054,0.847466,0.191863,2276640
02-10-1972,0.842525,0.842525,0.835112,0.835112,0.189066,2590310
03-10-1972,0.832642,0.832642,0.817817,0.817817,0.18515,784176
04-10-1972,0.817817,0.832642,0.812876,0.817817,0.18515,1922496
05-10-1972,0.805463,0.805463,0.783227,0.788168,0.178438,8261674
06-10-1972,0.788168,0.805463,0.785697,0.802993,0.181794,2403120
09-10-1972,0.802993,0.805463,0.798051,0.798051,0.180676,986544
10-10-1972,0.798051,0.815346,0.79558,0.805463,0.182354,1411517
11-10-1972,0.805463,0.812876,0.79311,0.802993,0.181794,2048976
12-10-1972,0.802993,0.802993,0.790639,0.79558,0.180116,3232829
13-10-1972,0.79558,0.79558,0.783227,0.785697,0.177879,3020342
16-10-1972,0.785697,0.79311,0.778285,0.780756,0.17676,1826371
17-10-1972,0.780756,0.788168,0.780756,0.788168,0.178438,2838211
18-10-1972,0.788168,0.800522,0.770873,0.778285,0.176201,4077715
19-10-1972,0.778285,0.785697,0.773344,0.785697,0.177879,1588589
20-10-1972,0.785697,0.807934,0.778285,0.805463,0.182354,1239504
23-10-1972,0.810405,0.825229,0.810405,0.822759,0.186269,1269859
24-10-1972,0.822759,0.8277,0.817817,0.825229,0.186829,3526262
25-10-1972,0.820288,0.820288,0.805463,0.812876,0.184032,1153498
26-10-1972,0.812876,0.822759,0.805463,0.810405,0.183472,1436813
27-10-1972,0.810405,0.815346,0.800522,0.812876,0.184032,1325510
30-10-1972,0.812876,0.812876,0.800522,0.800522,0.181235,880301
31-10-1972,0.805463,0.817817,0.805463,0.810405,0.183472,3602150
01-11-1972,0.810405,0.825229,0.807934,0.820288,0.18571,3187296
02-11-1972,0.820288,0.849937,0.820288,0.849937,0.192422,3900643
03-11-1972,0.849937,0.889469,0.847466,0.889469,0.201372,2590310
06-11-1972,0.889469,0.889469,0.869703,0.872173,0.197456,2696554
08-11-1972,0.872173,0.882056,0.867232,0.874644,0.198016,3531322
09-11-1972,0.874644,0.879586,0.86229,0.872173,0.197456,895478
10-11-1972,0.872173,0.872173,0.842525,0.849937,0.192422,5236272
13-11-1972,0.849937,0.864761,0.844995,0.852407,0.192981,890419
14-11-1972,0.852407,0.86229,0.837583,0.849937,0.192422,1360925
15-11-1972,0.849937,0.854878,0.849937,0.849937,0.192422,5119910
16-11-1972,0.849937,0.852407,0.842525,0.849937,0.192422,3010224
17-11-1972,0.849937,0.85982,0.847466,0.849937,0.192422,4927661
20-11-1972,0.849937,0.854878,0.847466,0.849937,0.192422,1391280
21-11-1972,0.849937,0.849937,0.830171,0.832642,0.188507,1790957
22-11-1972,0.832642,0.854878,0.8277,0.844995,0.191303,3364368
24-11-1972,0.847466,0.85982,0.847466,0.852407,0.192981,1426694
27-11-1972,0.852407,0.86229,0.852407,0.85982,0.19466,1178794
28-11-1972,0.85982,0.864761,0.849937,0.857349,0.195042,1517760
29-11-1972,0.857349,0.86229,0.849937,0.857349,0.195042,1608826
30-11-1972,0.85982,0.872173,0.85982,0.864761,0.196728,1735306
01-12-1972,0.864761,0.877115,0.86229,0.869703,0.197852,1811194
04-12-1972,0.872173,0.879586,0.872173,0.879586,0.200101,1952851
05-12-1972,0.879586,0.889469,0.874644,0.879586,0.200101,2595370
06-12-1972,0.879586,0.879586,0.872173,0.879586,0.200101,784176
07-12-1972,0.879586,0.886998,0.874644,0.879586,0.200101,1679654
08-12-1972,0.879586,0.889469,0.879586,0.889469,0.202349,3248006
